"Accessions","Family_Name","Longitude_lan","Latitude_lan"
"IS10060_PI563334","Atlantic-Congo",-1.96187,14.046
"IS10105_PI563338","Mande",-3.25128,13.1027
"IS10139_PI563343","Mande",-2.72732,13.1811
"IS10162_PI563348","Mande",-3.58355,12.7178
"IS10168_PI563350","Atlantic-Congo",-1.32,11.95
"IS10186_PI563359","Atlantic-Congo",-3.336,9.96122
"IS10192_PI563364","Mande",-0.78772,13.7206
"IS10195_PI563366","Atlantic-Congo",-3.0124,11.0441
"IS10278_PI563377","Nubian",30.417,15.083
"IS11010_PI329252","Pidgin",38.7631,8.96543
"IS11014_PI329256","Afro-Asiatic",38.9266,15.3359
"IS11043_PI329285","Afro-Asiatic",42.1332,9.30485
"IS11057_PI329299","Afro-Asiatic",39.75,14.75
"IS11068_PI329310","Afro-Asiatic",42.1332,9.30485
"IS11069_PI329311","Afro-Asiatic",42.17,5.76
"IS11074_PI329316","Afro-Asiatic",38.14,8.23
"IS11076_PI329318","Afro-Asiatic",39.5605,11.5764
"IS11077_PI329319","Pidgin",38.7631,8.96543
"IS11082_PI329325","Afro-Asiatic",36.7365,8.81391
"IS11096_PI329338","Afro-Asiatic",39.756,10.6596
"IS11108_PI329351","Afro-Asiatic",39.756,10.6596
"IS11151_PI329394","Afro-Asiatic",39.756,10.6596
"IS11160_PI329403","Afro-Asiatic",39.5605,11.5764
"IS11222_PI329465","Sign Language",38.8534,8.9761
"IS11227_PI329470","Sign Language",38.8534,8.9761
"IS11230_PI329473","Afro-Asiatic",38.1732,7.39014
"IS11231_PI329475","Ta-Ne-Omotic",35.9498,7.74852
"IS11232_PI329476","Afro-Asiatic",38.3729,6.74176
"IS11236_PI329480","Afro-Asiatic",38.1732,7.39014
"IS11257_PI329501","Afro-Asiatic",38.8258,8.01148
"IS11264_PI329510","Sign Language",38.8534,8.9761
"IS11269_PI329517","Sign Language",38.8534,8.9761
"IS11270_PI329518","Afro-Asiatic",38.3386,8.10617
"IS11292_PI329540","Afro-Asiatic",38.14,8.23
"IS11297_PI329545","Afro-Asiatic",37.9891,8.11879
"IS11301_PI329550","Ta-Ne-Omotic",37.4412,7.79821
"IS11307_PI329556","Afro-Asiatic",37.5742,7.53825
"IS11320_PI329569","Pidgin",38.7631,8.96543
"IS11321_PI329570","Ta-Ne-Omotic",36.1718,7.34022
"IS11334_PI329583","Ta-Ne-Omotic",37.4412,7.79821
"IS11359_PI329614","Pidgin",38.7631,8.96543
"IS11362_PI329617","Afro-Asiatic",36.7365,8.81391
"IS11377_PI329632","Afro-Asiatic",36.7365,8.81391
"IS11389_PI329644","Afro-Asiatic",36.7365,8.81391
"IS11390_PI329645","Afro-Asiatic",36.7365,8.81391
"IS11407_PI329665","Pidgin",38.7631,8.96543
"IS11435_PI329699","Ta-Ne-Omotic",35.7673,7.04682
"IS11438_PI329702","Sign Language",38.8534,8.9761
"IS11446_PI329710","Afro-Asiatic",39.756,10.6596
"IS11548_PI329813","Afro-Asiatic",39.75,14.75
"IS11572_PI329841","Afro-Asiatic",37.0542,12.8119
"IS11574_PI329843","Afro-Asiatic",36.6916,10.9819
"IS11579_PI329848","Pidgin",38.7631,8.96543
"IS11593_PI329864","Pidgin",38.7631,8.96543
"IS11642_PI329920","Afro-Asiatic",41.4395,8.67428
"IS11887_PI330167","Afro-Asiatic",39.543456,11.708182
"IS11901_PI330181","Afro-Asiatic",39.543456,11.708182
"IS11904_PI330184","Afro-Asiatic",39.543456,11.708182
"IS11912_PI330192","Afro-Asiatic",38.8352,12.4479
"IS11913_PI330195","Afro-Asiatic",39.75,14.75
"IS11914_PI330196","Afro-Asiatic",39.75,14.75
"IS11917_PI330199","Afro-Asiatic",39.75,14.75
"IS12080_PI330796","Afro-Asiatic",37.9088,7.37582
"IS12082_PI330798","Afro-Asiatic",38.14,8.23
